country_code,ciuntry_l,harmony,embedded,hierarchy,mastery,aff auton,intel auton,egalitar,country_C,mediana,srednia,maxi,dlugosc,Country_H,Handwashing
aut,austria,4.31,3.11,1.75,3.92,4.29,4.9,4.89,Austria,0.74,1.187708333,3.57,48,Austria,0.35
beg,belgium,4.35,3.25,1.69,3.84,3.94,4.64,5.2,Belgium,1.24,1.502745098,2.65,51,Belgium,0.4
bul,bulgaria,4.13,3.87,2.68,4.02,3.47,4.29,4.13,Bulgaria,1.1,1.116206897,1.73,29,Bulgaria,0.28
cro,croatia,4.02,4,2.55,4.05,3.92,4.35,4.6,Croatia,0.88,1.087027027,3.28,37,Czech,0.29
cyp,cyprus,4.01,4.04,1.96,3.95,3.21,3.83,4.85,Cyprus,0.8,0.854444444,2.28,27,,
cze,czech rep,4.27,3.59,2.22,3.75,3.49,4.62,4.45,Czechia,0.98,1.239777778,3.08,45,,
den,denmark,4.16,3.19,1.86,3.91,4.3,4.77,5.03,Denmark,1.11,1.37877551,6.37,49,,
est,estonia,4.31,3.81,2.04,3.79,3.36,4.23,4.58,Estonia,0.7,0.886976744,2.05,43,,
fin,finland,4.34,3.37,1.8,3.66,3.96,4.93,4.9,Finland,1.13,1.221333333,2.38,45,Finland,0.24
fra,france,4.21,3.2,2.21,3.72,4.39,5.13,5.05,France,1.44,1.514285714,3.24,56,France,0.38
gerw,germany,4.54,3.095,1.82,3.93,4.195,4.835,5.01,Germany,1.19,1.54375,3.57,56,Germany,0.22
gre,greece,4.4,3.41,1.83,4.25,3.92,4.39,4.84,Greece,1.125,1.048409091,2.64,44,Greece,0.15
hun,hungary,4.34,3.6,1.94,3.73,3.63,4.57,4.51,Hungary,1.17,1.274857143,2.1,35,,
ire,ireland,3.77,3.41,2.09,4.04,4.05,4.54,4.9,Ireland,1.43,1.541162791,2.91,43,Ireland,0.26
ita,italy,4.62,3.46,1.6,3.81,3.3,4.91,5.27,Italy,1.105,1.52703125,4.08,64,Italy,0.43
net,netherlands,4.05,3.19,1.91,3.97,4.13,4.85,5.03,Netherlands,1.22,1.448431373,2.91,51,Netherlands,0.5
nor,norway,4.4,3.45,1.49,3.85,3.69,4.68,5.12,Norway,0.93,1.174,3.44,50,,
pol,poland,3.86,3.86,2.51,3.84,3.32,4.31,4.48,Poland,1.42,1.46547619,2.71,42,Poland,0.32
por,portugal,4.27,3.43,1.89,4.11,3.62,4.53,5.21,Portugal,1.15,1.507272727,3.5,44,Portugal,0.15
rom,romania,4.11,3.78,2,4.06,3.45,4.61,4.48,Romania,1.295,1.415952381,2.62,42,Romania,0.16
rus,russia,3.9,3.81,2.72,3.96,3.51,4.3,4.38,Russia,1.96,1.962820513,2.88,39,Russia,0.37
slvk,slovakia,4.47,3.82,2,3.83,2.99,4.29,4.58,Slovakia,0.94,1.069655172,1.83,29,,
slvn,slovenia,4.45,3.71,1.62,3.71,3.72,4.88,4.56,Slovenia,0.81,0.904,2.73,45,,
spa,spain,4.47,3.31,1.84,3.8,3.67,4.99,5.23,Spain,1.385,1.677407407,3.85,54,Spain,0.39
swe,sweden,4.46,3.12,1.83,3.81,4.24,5.09,4.9,Sweden,1.4,1.467843137,2.64,51,Sweden,0.22
swi,switzerland,4.17,3.19,2.24,3.855,4.285,4.99,4.99,Switzerland,0.91,1.273461538,3.69,52,Switzerland,0.27
uk,unitedkingdom,3.91,3.34,2.33,4.01,4.26,4.62,4.92,United_Kingdom,1.665,1.715,2.96,52,UK,0.25
